province_territory,median_hh_income
Canada,70336
Newfoundland and Labrador,67272
Prince Edward Island,61163
Nova Scotia,60764
New Brunswick,59347
Quebec,59822
Ontario,74287
Manitoba,68147
Saskatchewan,75412
Alberta,93835
British Columbia,69995
Yukon,84521
Northwest Territories,117688
Nunavut,97441
